-BEGIN HEADER-,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,
Dates (month/day/year): 01/01/2010 through 07/08/2021 ,,,,,
Location: Latitude  10.7726   Longitude 106.7042 ,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 25.1 meters   Site = na ,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,
Parameter(s): ,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,
-END HEADER-,,,,,
LAT,LON,YEAR,MO,DY,PRECTOT
10.77261,106.70421,2011,1,27,0.04
10.77261,106.70421,2011,1,28,0
10.77261,106.70421,2011,1,29,0
10.77261,106.70421,2011,1,30,0
10.77261,106.70421,2011,1,31,0.04
10.77261,106.70421,2011,2,1,0
10.77261,106.70421,2011,2,2,0
10.77261,106.70421,2011,2,3,0
10.77261,106.70421,2011,2,4,0
10.77261,106.70421,2011,2,5,0.04
10.77261,106.70421,2011,2,6,0
10.77261,106.70421,2011,2,7,0
10.77261,106.70421,2011,2,8,0
10.77261,106.70421,2011,2,9,0
10.77261,106.70421,2011,2,10,0
10.77261,106.70421,2011,2,11,0
10.77261,106.70421,2011,2,12,0
10.77261,106.70421,2011,2,13,0
10.77261,106.70421,2011,2,14,0
10.77261,106.70421,2011,2,15,0
10.77261,106.70421,2011,2,16,0
10.77261,106.70421,2011,2,17,0
10.77261,106.70421,2011,2,18,0
10.77261,106.70421,2011,2,19,0
10.77261,106.70421,2011,2,20,0
10.77261,106.70421,2011,2,21,0
10.77261,106.70421,2011,2,22,0
10.77261,106.70421,2011,2,23,0
10.77261,106.70421,2011,2,24,0
10.77261,106.70421,2011,2,25,0
10.77261,106.70421,2011,2,26,0
10.77261,106.70421,2011,2,27,0
10.77261,106.70421,2011,2,28,0
10.77261,106.70421,2011,3,1,0
10.77261,106.70421,2011,3,2,0
10.77261,106.70421,2011,3,3,0.04
10.77261,106.70421,2011,3,4,0.32
10.77261,106.70421,2011,3,5,0.64
10.77261,106.70421,2011,3,6,0.04
10.77261,106.70421,2011,3,7,0.08
10.77261,106.70421,2011,3,8,0.96
10.77261,106.70421,2011,3,9,0
10.77261,106.70421,2011,3,10,0
10.77261,106.70421,2011,3,11,0
10.77261,106.70421,2011,3,12,0
10.77261,106.70421,2011,3,13,0
10.77261,106.70421,2011,3,14,0
10.77261,106.70421,2011,3,15,0.04
10.77261,106.70421,2011,3,16,0.28
10.77261,106.70421,2011,3,17,3.6
10.77261,106.70421,2011,3,18,1.48
10.77261,106.70421,2011,3,19,2.08
10.77261,106.70421,2011,3,20,0.04
10.77261,106.70421,2011,3,21,2.04
10.77261,106.70421,2011,3,22,2.84
10.77261,106.70421,2011,3,23,40.12
10.77261,106.70421,2011,3,24,31.76
10.77261,106.70421,2011,3,25,22.56
10.77261,106.70421,2011,3,26,5.76
10.77261,106.70421,2011,3,27,8.92
10.77261,106.70421,2011,3,28,0.04
10.77261,106.70421,2011,3,29,0.04
10.77261,106.70421,2011,3,30,0
10.77261,106.70421,2011,3,31,0
10.77261,106.70421,2011,4,1,1.2
10.77261,106.70421,2011,4,2,1.88
10.77261,106.70421,2011,4,3,1.48
10.77261,106.70421,2011,4,4,0.56
10.77261,106.70421,2011,4,5,6.52
10.77261,106.70421,2011,4,6,0
10.77261,106.70421,2011,4,7,0
10.77261,106.70421,2011,4,8,0
10.77261,106.70421,2011,4,9,0.04
10.77261,106.70421,2011,4,10,0
10.77261,106.70421,2011,4,11,0.04
10.77261,106.70421,2011,4,12,0.24
10.77261,106.70421,2011,4,13,0
10.77261,106.70421,2011,4,14,0
10.77261,106.70421,2011,4,15,0
10.77261,106.70421,2011,4,16,0
10.77261,106.70421,2011,4,17,0.12
10.77261,106.70421,2011,4,18,20.16
10.77261,106.70421,2011,4,19,192.64
10.77261,106.70421,2011,4,20,4.72
10.77261,106.70421,2011,4,21,1.16
10.77261,106.70421,2011,4,22,0.12
10.77261,106.70421,2011,4,23,10.96
10.77261,106.70421,2011,4,24,13.2
10.77261,106.70421,2011,4,25,9.64
10.77261,106.70421,2011,4,26,0
10.77261,106.70421,2011,4,27,0.04
10.77261,106.70421,2011,4,28,1.68
10.77261,106.70421,2011,4,29,36.44
10.77261,106.70421,2011,4,30,0.56
10.77261,106.70421,2011,5,1,3
10.77261,106.70421,2011,5,2,5.4
10.77261,106.70421,2011,5,3,1.2
10.77261,106.70421,2011,5,4,4.8
10.77261,106.70421,2011,5,5,43.28
10.77261,106.70421,2011,5,6,0.84
10.77261,106.70421,2011,5,7,4.32
10.77261,106.70421,2011,5,8,0.8
10.77261,106.70421,2011,5,9,0.6
10.77261,106.70421,2011,5,10,5.32
10.77261,106.70421,2011,5,11,5.56
10.77261,106.70421,2011,5,12,23
10.77261,106.70421,2011,5,13,1.32
10.77261,106.70421,2011,5,14,15.4
10.77261,106.70421,2011,5,15,85.8
10.77261,106.70421,2011,5,16,16.92
10.77261,106.70421,2011,5,17,2.08
10.77261,106.70421,2011,5,18,44.96
10.77261,106.70421,2011,5,19,1.16
10.77261,106.70421,2011,5,20,5.12
10.77261,106.70421,2011,5,21,32.16
10.77261,106.70421,2011,5,22,0.64
10.77261,106.70421,2011,5,23,0.64
10.77261,106.70421,2011,5,24,8.44
10.77261,106.70421,2011,5,25,65.64
10.77261,106.70421,2011,5,26,76.16
10.77261,106.70421,2011,5,27,27.68
10.77261,106.70421,2011,5,28,110.6
10.77261,106.70421,2011,5,29,72.04
10.77261,106.70421,2011,5,30,40.96
10.77261,106.70421,2011,5,31,30.28
10.77261,106.70421,2011,6,1,42.2
10.77261,106.70421,2011,6,2,4.36
10.77261,106.70421,2011,6,3,3.64
10.77261,106.70421,2011,6,4,20.72
10.77261,106.70421,2011,6,5,5.28
10.77261,106.70421,2011,6,6,36.88
10.77261,106.70421,2011,6,7,17.36
10.77261,106.70421,2011,6,8,4.84
